"year","reporter","partner","flow","fcl","qty","value","fclunit","ctunitdesc"
"2011",231,2,"Import",1002,2138,63512,"mt","Number of items"
"2011",231,9,"Import",920,44,4637,"mt","Number of items"
"2011",231,9,"Import",1103,9,1226,"mt","Number of items"
"2011",231,9,"Import",1195,24,3950,"mt","Number of items"
"2011",231,10,"Import",1103,8,838,"mt","Number of items"
"2011",231,11,"Import",1103,9,5006,"mt","Number of items"
"2011",231,21,"Import",920,843,92280,"mt","Number of items"
"2011",231,21,"Import",1103,2313,30880,"mt","Number of items"
"2011",231,33,"Import",920,780,50148,"mt","Number of items"
"2011",231,33,"Import",1046,6,1462,"mt","Number of items"
"2011",231,33,"Import",1103,1,2153,"mt","Number of items"
"2011",231,33,"Import",1195,1874531,84222066,"mt","Number of items"
"2011",231,33,"Import",1216,1,505,"mt","Number of items"
"2011",231,44,"Import",920,1117,86397,"mt","Number of items"
"2011",231,44,"Import",1216,200,11376,"mt","Number of items"
"2011",231,48,"Import",920,320,3340,"mt","Number of items"
"2011",231,54,"Import",1195,9308,813880,"mt","Number of items"
"2011",231,67,"Import",1002,594,23906,"mt","Number of items"
"2011",231,67,"Import",1195,35487,5466697,"mt","Number of items"
"2011",231,68,"Import",920,748,13644,"mt","Number of items"
"2011",231,68,"Import",1002,96,10028,"mt","Number of items"
"2011",231,68,"Import",1103,53,4431,"mt","Number of items"
"2011",231,68,"Import",1195,1446,71748,"mt","Number of items"
"2011",231,79,"Import",920,782,15858,"mt","Number of items"
"2011",231,79,"Import",1195,34632,2076974,"mt","Number of items"
"2011",231,80,"Import",1195,1728,104848,"mt","Number of items"
"2011",231,84,"Import",1195,81799,4928102,"mt","Number of items"
"2011",231,97,"Import",920,10,2650,"mt","Number of items"
"2011",231,97,"Import",1195,9,2430,"mt","Number of items"
"2011",231,100,"Import",1103,2,1779,"mt","Number of items"
"2011",231,100,"Import",1195,1,855,"mt","Number of items"
"2011",231,101,"Import",1216,114,6802,"mt","Number of items"
"2011",231,106,"Import",920,1445,106312,"mt","Number of items"
"2011",231,106,"Import",1002,291,25659,"mt","Number of items"
"2011",231,106,"Import",1103,1039,59493,"mt","Number of items"
"2011",231,106,"Import",1195,172,18116,"mt","Number of items"
"2011",231,106,"Import",1216,163,6638,"mt","Number of items"
"2011",231,117,"Import",920,1292,4069,"mt","Number of items"
"2011",231,117,"Import",1103,70,1821,"mt","Number of items"
"2011",231,131,"Import",1216,40,856,"mt","Number of items"
"2011",231,138,"Import",920,114132,1320805,"mt","Number of items"
"2011",231,138,"Import",1195,27696,232715,"mt","Number of items"
"2011",231,138,"Import",1216,28,1153,"mt","Number of items"
"2011",231,150,"Import",1195,387273,23071384,"mt","Number of items"
"2011",231,156,"Import",1195,7,730,"mt","Number of items"
"2011",231,157,"Import",920,100,2133,"mt","Number of items"
"2011",231,165,"Import",920,853,4414,"mt","Number of items"
"2011",231,165,"Import",1216,202,767,"mt","Number of items"
"2011",231,167,"Import",1195,93360,197967,"mt","Number of items"
"2011",231,173,"Import",1195,16335,1560041,"mt","Number of items"
"2011",231,174,"Import",1195,240,13025,"mt","Number of items"
"2011",231,185,"Import",1195,5969,969687,"mt","Number of items"
"2011",231,200,"Import",1216,659,130116,"mt","Number of items"
"2011",231,203,"Import",1195,28418,1283193,"mt","Number of items"
"2011",231,203,"Import",1216,33,2836,"mt","Number of items"
"2011",231,210,"Import",1195,133255,7712709,"mt","Number of items"
